institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
10 millió Fa Alapítvány,3,0.667,2,172.5,172.5,2.667,2.0,47.53,47.472,47.583,3,19.037,18.981,19.116,3,"['II. kerület', 'XI. kerület', 'IV. kerület']",0.0,1.0,45.7,29,Low,1.0,0.111,0.135,10 millió Fa Alapítvány
2Connect,161,0.683,110,148.227,64.5,12.588,2.0,47.5,47.429,47.575,161,19.056,18.989,19.244,17,"['XVII. kerület', 'XVI. kerület', 'XIII. kerület', 'VI. kerület', 'XIX. kerület', 'II. kerület', 'VIII. kerület', 'VII. kerület', 'XI. kerület', 'I. kerület', 'XIV. kerület', 'XII. kerület', 'XX. kerület', 'IX. kerület', 'IV. kerület', 'XXI. kerület', 'X. kerület']",0.0,0.565,34.2,64,Medium,1.0,0.146,0.255,2Connect
AH Infrastruktúra Zrt.,8,0.375,3,222.0,46.0,22.5,3.5,47.503,47.482,47.525,8,19.05,19.022,19.082,6,"['XIII. kerület', 'XII. kerület', 'IX. kerület', 'V. kerület', 'XI. kerület', 'I. kerület']",0.0,0.375,18.8,144,Low,1.0,0.043,0.06,AH Infrastruktúra Zrt.
ATEV Fehérjefeldolgozó Zrt.,30,0.3,9,83.111,17.0,24.077,5.0,47.501,47.434,47.57,30,19.041,18.932,19.225,10,"['XII. kerület', 'IX. kerület', 'XVII. kerület', 'II. kerület', 'XI. kerület', 'VII. kerület', 'XVIII. kerület', 'VIII. kerület', 'XXI. kerület', 'XIII. kerület']",0.0,0.7,15.0,157,Low,1.0,0.136,0.293,ATEV Fehérjefeldolgozó Zrt.
AVIA Hungária Kft.,1,0.0,0,,,22.0,22.0,47.506,47.506,47.506,1,19.16,19.16,19.16,1,['X. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,AVIA Hungária Kft.
Aldi,23,0.565,13,58.923,22.0,16.5,4.0,47.503,47.438,47.601,23,19.106,18.994,19.226,8,"['XI. kerület', 'II. kerület', 'XIX. kerület', 'XVII. kerület', 'XX. kerület', 'III. kerület', 'XIII. kerület', 'XIV. kerület']",0.0,0.565,28.2,96,Low,1.0,0.163,0.232,Aldi
Alza,1,1.0,1,4.0,4.0,,,47.597,47.597,47.597,1,19.058,19.058,19.058,1,['III. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Alza
Anantara New York Palace Budapest Hotel,1,0.0,0,,,44.0,44.0,47.498,47.498,47.498,1,19.071,19.071,19.071,1,['VII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Anantara New York Palace Budapest Hotel
Auchan,16,0.812,13,57.077,18.0,11.312,4.0,47.499,47.411,47.561,16,19.097,19.046,19.163,5,"['III. kerület', 'XVIII. kerület', 'XX. kerület', 'XXIII. kerület', 'X. kerület']",0.0,0.5,40.6,41,Low,1.0,0.15,0.117,Auchan
BDK Budapesti Dísz-és Közvilágítási Kft.,1242,0.842,1046,32.066,11.0,21.74,9.0,47.509,47.389,47.609,1242,19.074,18.941,19.297,23,"['III. kerület', 'X. kerület', 'XII. kerület', 'XI. kerület', 'XVI. kerület', 'II. kerület', 'XIII. kerület', 'VII. kerület', 'IX. kerület', 'V. kerület', 'IV. kerület', 'XIV. kerület', 'VIII. kerület', 'I. kerület', 'XXI. kerület', 'XVIII. kerület', 'XV. kerület', 'XX. kerület', 'XXIII. kerület', 'XVII. kerület', 'VI. kerület', 'XIX. kerület', 'XXII. kerület']",0.0,0.429,42.1,36,Very High,1.0,0.22,0.356,BDK Budapesti Dísz-és Közvilágítási Kft.
