InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany,ServiceAreaCoverage,WorkloadCategory,PerformanceRanking,EfficiencyScore,TerritorySizeCategory
10 millió Fa Alapítvány,47.583,19.116,47.573,47.592999999999996,19.105999999999998,19.126,0.0,1,['IV. kerület'],1,Other Municipal,0,0,0,1.0,Low,13,59.3,Small
AH Infrastruktúra Zrt.,47.503,19.042,47.473,47.528,19.014999999999997,19.068,13.975500000000002,4,"['XI. kerület', 'XIII. kerület', 'I. kerület', 'V. kerület']",4,Other Municipal,0,0,1,1.0,Low,137,10.2,Large
ATEV Fehérjefeldolgozó Zrt.,47.508,19.034,47.438,47.582,18.9076,19.2004,354.28799999999995,8,"['XI. kerület', 'II. kerület', 'Unknown', 'VII. kerület', 'IX. kerület', 'XVIII. kerület', 'VIII. kerület', 'XIII. kerület']",24,Other Municipal,0,0,1,1.0,Low,86,20.3,Large
ATEV FehĂŠrjefeldolgozĂł Zrt.,47.434,19.071,47.424,47.443999999999996,19.061,19.081000000000003,0.0,1,['Csepel'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
AVIA Hungária Kft.,47.506,19.16,47.496,47.516,19.15,19.17,0.0,1,['X. kerület'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
Aldi,47.521,19.106,47.4217,47.6173,19.0104,19.2456,386.5708000000001,7,"['XX. kerület', 'XVII. kerület', 'XIX. kerület', 'III. kerület', 'XIII. kerület', 'XIV. kerület', 'XI. kerület']",17,Other Municipal,0,0,0,1.0,Low,122,14.4,Large
Alza,47.597,19.058,47.587,47.607,19.048,19.068,0.0,1,['III. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Auchan,47.56,19.049,47.548,47.571,19.037,19.062,0.1815,2,"['III. kerület', 'Unknown']",5,Other Municipal,0,0,0,1.0,Low,46,32.2,Small
BDK Budapesti DÃ­sz-ÃĐs KÃķzvilÃĄgÃ­tÃĄsi Kft.,47.501,18.984,47.491,47.510999999999996,18.974,18.994000000000003,0.0,1,['Unknown'],1,Other Municipal,0,1,1,1.0,Low,999,,Small
BDK Budapesti Dísz-és Közvilágítási Kft.,47.509,19.075,47.36750000000001,47.6255,18.9156,19.3164,868.901,24,"['XVI. kerület', 'XVII. kerület', 'XIV. kerület', 'III. kerület', 'IX. kerület', 'II. kerület', 'VII. kerület', 'VIII. kerület', 'XI. kerület', 'XXI. kerület', 'IV. kerület', 'XIX. kerület', 'Unknown', 'I. kerület', 'XV. kerület', 'X. kerület', 'XX. kerület', 'XVIII. kerület', 'XII. kerület', 'XIII. kerület', 'V. kerület', 'XXII. kerület', 'VI. kerület', 'XXIII. kerület']",712,Public Lighting,0,1,1,1.0,Very High,35,39.1,Large
BFKH Budapest FÅvÃĄros KormÃĄnyhivatala,47.469,19.091,47.459,47.479,19.081,19.101000000000003,0.0,1,['Unknown'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
BFKH Budapest Főváros Kormányhivatala,47.499,19.066,47.392999999999994,47.597,18.9877,19.2673,479.28100000000006,17,"['XIV. kerület', 'III. kerület', 'VI. kerület', 'XVIII. kerület', 'VIII. kerület', 'II. kerület', 'XII. kerület', 'Unknown', 'I. kerület', 'XI. kerület', 'V. kerület', 'VII. kerület', 'XIII. kerület', 'XVII. kerület', 'XXIII. kerület', 'X. kerület', 'IX. kerület']",43,Other Municipal,0,1,0,1.0,Low,153,3.2,Large
BFKH III. Kerületi Hivatal Hatósági Osztály,47.552,19.038,47.529,47.602,19.023999999999997,19.062,11.543399999999998,1,['III. kerület'],4,Local Government,1,0,0,1.0,Low,24,41.3,Large
BGYH Budapest Gyógyfürdői és Hévizei Zrt.,47.523,19.126,47.513000000000005,47.533,19.116,19.136000000000003,0.0,1,['XIV. kerület'],1,Other Municipal,0,1,1,1.0,Low,999,,Small
BKK Budapesti KÃķzlekedÃĐsi KÃķzpont,47.49,19.089,47.480000000000004,47.5,19.078999999999997,19.099,0.0,1,['Unknown'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
BKK Budapesti Közlekedési Központ,47.5,19.071,47.3785,47.6245,18.8969,19.3301,895.4604999999998,24,"['IX. kerület', 'XI. kerület', 'XIII. kerület', 'IV. kerület', 'II. kerület', 'XIV. kerület', 'III. kerület', 'XV. kerület', 'XXIII. kerület', 'XII. kerület', 'X. kerület', 'XX. kerület', 'V. kerület', 'I. kerület', 'VIII. kerület', 'Unknown', 'XXI. kerület', 'VI. kerület', 'XVI. kerület', 'XVIII. kerület', 'VII. kerület', 'XIX. kerület', 'XXII. kerület', 'XVII. kerület']",754,Roads & Traffic,0,1,0,1.0,Very High,125,14.0,Large
BKM Budapesti KÃ¶zmÅ±vek,47.518,18.971,47.508,47.528,18.961,18.981,0.0,1,['Unknown'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
BKM Budapesti KÃķzmÅąvek,47.485,19.035,47.432,47.55,18.968700000000002,19.1403,169.56939999999997,1,['Unknown'],7,Other Municipal,0,1,0,1.0,Low,41,34.6,Large
BKM Budapesti Közművek,47.5,19.067,47.3378,47.6282,18.9115,19.361500000000003,1098.075,24,"['XI. kerület', 'VII. kerület', 'V. kerület', 'IX. kerület', 'I. kerület', 'VI. kerület', 'XXII. kerület', 'XIII. kerület', 'VIII. kerület', 'XIX. kerület', 'Unknown', 'III. kerület', 'II. kerület', 'XX. kerület', 'X. kerület', 'XIV. kerület', 'XXIII. kerület', 'IV. kerület', 'XVIII. kerület', 'XII. kerület', 'XVII. kerület', 'XVI. kerület', 'XXI. kerület', 'XV. kerület']",1974,Other Municipal,0,1,0,1.0,Very High,66,26.3,Large
BKM Budapesti Közművek,47.508,19.18,47.498000000000005,47.518,19.169999999999998,19.19,0.0,1,['Unknown'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
BKM Budapesti KĂśzmĹąvek,47.507,19.04,47.468,47.558,19.02,19.058,15.246,1,['Unknown'],8,Other Municipal,0,1,0,1.0,Low,30,40.3,Large
