ClusterID,ClusterCenterLat,ClusterCenterLng,IssueCount,ResolutionRate,AvgResolutionTime,DominantCategory,PrimaryInstitution,DominantDistrict,ClusterSize,ClusterType
0,47.511,19.037,702,0.432,61.822,Forgalomtechnika,Budapest Közút,II. kerület,702,Major Hotspot
1,47.484,19.134,424,0.644,56.846,Forgalomtechnika,Budapest Közút,X. kerület,424,Major Hotspot
2,47.569,19.053,196,0.378,69.338,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,196,Major Hotspot
3,47.464,19.051,238,0.458,64.685,Forgalomtechnika,Budapest Közút,XI. kerület,238,Major Hotspot
4,47.528,19.105,360,0.483,88.092,Elhagyott jármű,XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,XIV. kerület,360,Major Hotspot
5,47.463,19.238,82,0.561,90.022,Kátyú,XVII. kerület Rákosmente Önkormányzata,XVII. kerület,82,Major Hotspot
6,47.434,19.128,279,0.609,116.429,Parkok és zöldterületek,XX. kerület Pesterzsébet Önkormányzata,XX. kerület,279,Major Hotspot
7,47.468,19.016,669,0.525,67.744,Köztisztaság,XI. kerület Újbuda Önkormányzata,XI. kerület,669,Major Hotspot
8,47.525,18.985,476,0.559,48.751,Köztisztaság,II. kerület Önkormányzata,II. kerület,476,Major Hotspot
9,47.479,19.078,396,0.545,53.213,Forgalomtechnika,IX. kerület Ferencváros Önkormányzata,IX. kerület,396,Major Hotspot
10,47.534,19.065,479,0.564,58.841,Parkok és zöldterületek,XIII. kerület Önkormányzata,XIII. kerület,479,Major Hotspot
11,47.509,19.196,145,0.6,85.195,Közművek,XVI. kerületi Önkormányzat,XVI. kerület,145,Major Hotspot
12,47.41,19.05,107,0.626,80.164,Elhagyott jármű,Budapest Közút,XXI. kerület,107,Major Hotspot
13,47.435,19.074,259,0.533,79.0,Parkok és zöldterületek,Budapest Közút,XXI. kerület,259,Major Hotspot
14,47.467,19.156,363,0.689,56.516,Közművek,Budapest Közút,X. kerület,363,Major Hotspot
15,47.542,19.037,692,0.46,67.701,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,692,Major Hotspot
16,47.597,19.054,533,0.433,57.348,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,533,Major Hotspot
17,47.503,19.138,309,0.557,64.43,Közművek,Budapest Közút,XIV. kerület,309,Major Hotspot
18,47.543,19.119,101,0.594,56.933,Elhagyott jármű,XV. kerület Önkormányzati Rendészet,XV. kerület,101,Major Hotspot
19,47.491,19.023,444,0.653,87.772,Közművek,Budapest Közút,XII. kerület,444,Major Hotspot
