institution,reports_count
10 millió Fa Alapítvány,1
AH Infrastruktúra Zrt.,3
ATEV Fehérjefeldolgozó Zrt.,21
AVIA Hungária Kft.,1
Aldi,12
Alza,1
Auchan,5
BDK Budapesti Dísz-és Közvilágítási Kft.,405
BFKH Budapest Főváros Kormányhivatala,27
BFKH III. Kerületi Hivatal Hatósági Osztály,2
BKK Budapesti Közlekedési Központ,462
BKM Budapesti Közművek,1402
Becketts Ír Pub és Étterem,1
Bercsényi Miklós Szakiskola és Kollégium,1
Bethesda Gyermekkórház,1
Budagyöngye,1
Budai Tamás - egyéni vállalkozó,5
Budapest Airport,3
Budapest Brand NZrt.,1
Budapest Film Zrt.,2
Budapest Főváros Önkormányzata,53
Budapest Galéria,2
Budapest Közút,2619
Budapesti Corvinus Egyetem,3
Budavári Kapu Kft.,1
Burger King,2
Campona,1
Citadella Vagyonkezelő Nonprofit Kft.,1
Cordia,1
Corvin Plaza,1
Csillag Center,2
D-Infrastruktúra Távközlési Kft.,15
Duna Plaza,1
E.ON,163
ELTE Eötvös Loránd Tudományegyetem,2
ERSTE BANK Hungary Zrt.,1
ESMA Reklám Zrt.,1
Egyéb illetékes,178
Erkel Színház,1
Europeum Bevásárlóközpont,1
FCSM Fővárosi Csatornázási Művek,276
Fidesz - Magyar Polgári Szövetség,3
FÖRI Fővárosi Önkormányzati Rendészet,42
Fővárosi Katasztrófavédelmi Igazgatóság,3
Fővárosi Vízművek,222
Fővárosi Állat- és Növénykert,1
GOBUDA Mall,2
HWR-Telecom,1
Hermina Residence,1
Hesse Trade Kft.,1
I. kerület Budavár Önkormányzata,139
I. kerület Budavári Rendészet,23
II. Kerületi Rendőrkapitányság,2
II. kerület Közterület-felügyeleti Csoport,74
II. kerület Önkormányzata,397
III. Kerületi Rendőrkapitányság,3
III. kerület Békásmegyeri Piac Kft.,11
III. kerület OVZRT Óbudai Vagyonkezelő NZrt.,63
III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,760
III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.,21
III. kerület Óbuda-Békásmegyer Önkormányzata,16
III. kerület Óbudai Parkolási Nonprofit Kft.,4
IKEA,1
IV. kerület Újpest Önkormányzata,168
IV. kerület Újpesti Önkormányzati Rendészet,49
IX. kerület - FESZOFE Nonprofit Kft.,70
IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság,1
IX. kerület Ferencváros Önkormányzata,126
IX. kerület Ferencvárosi Közterület-felügyelet,32
Invitech,31
JCDecaux,138
KDVVIZIG Közép-Duna-völgyi Vízügyi Igazgatóság,10
KFC,2
Komposztfórum,1
Kínai-Magyar Vasúti Nonprofit Zrt.,1
Közlekedési Múzeum,1
Lidl,11
Lime,25
Lurdy ház,1
MAHART PassNave Személyhajózási Zrt.,2
MAHIR Cityposter,2
MKKP Magyar Kétfarkú Kutya Párt,4
MNV Magyar Nemzeti Vagyonkezelő Zrt.,7
MOHU Budapest Zrt.,1
MOHU MOL Hulladékgazdálkodási Zrt.,6
MOL Magyar Olaj- és Gázipari Nyrt.,3
MOM Park,1
MVM Főgáz Földgázhálózati Kft.,57
MVM Mobiliti,2
MVM NET,2
MVM Next Energiakereskedelmi Zrt.,7
Magyar Közút,4
Magyar Mezőgazdasági Múzeum és Könyvtár,1
