Date,Year,Month,DayOfWeek,IsWeekend,WeekOfYear,TotalReports,ResolutionRate,AvgDaysToResolution,AvgDaysToFirstResponse,AnonymousRate,ImageAttachmentRate,GPSCoverageCount,Reports_7Day_MA,ResolutionRate_7Day_MA
2024-03-22,2024,3,Friday,False,12,26,0.731,64.0,20.833,0.5,0.0,26,,
2024-03-23,2024,3,Saturday,True,12,82,0.683,80.357,25.632,0.744,0.0,82,,
2024-03-24,2024,3,Sunday,True,12,61,0.803,104.265,23.698,0.426,0.0,61,,
2024-03-25,2024,3,Monday,False,13,71,0.648,91.217,17.942,0.62,0.0,71,,
2024-03-26,2024,3,Tuesday,False,13,70,0.771,95.0,28.214,0.471,0.0,70,,
2024-03-27,2024,3,Wednesday,False,13,65,0.585,144.0,27.377,0.523,0.0,65,,
2024-03-28,2024,3,Thursday,False,13,53,0.642,91.059,22.654,0.66,0.0,53,61.1,0.695
2024-03-29,2024,3,Friday,False,13,66,0.773,106.294,22.051,0.394,0.0,66,66.9,0.701
2024-03-30,2024,3,Saturday,True,13,33,0.697,97.609,21.484,0.455,0.0,33,59.9,0.703
2024-03-31,2024,3,Sunday,True,13,42,0.738,137.452,37.026,0.524,0.0,42,57.1,0.693
2024-04-01,2024,4,Monday,False,14,84,0.607,73.059,19.633,0.405,0.0,84,59.0,0.688
2024-04-02,2024,4,Tuesday,False,14,57,0.684,92.821,29.462,0.526,0.0,57,57.1,0.675
2024-04-03,2024,4,Wednesday,False,14,57,0.789,117.978,28.075,0.649,0.0,57,56.0,0.704
2024-04-04,2024,4,Thursday,False,14,90,0.667,90.667,30.333,0.633,0.0,90,61.3,0.708
2024-04-05,2024,4,Friday,False,14,97,0.598,99.776,30.968,0.495,0.0,97,65.7,0.683
2024-04-06,2024,4,Saturday,True,14,51,0.627,142.781,20.771,0.725,0.0,51,68.3,0.673
2024-04-07,2024,4,Sunday,True,14,93,0.656,105.82,23.374,0.495,0.0,93,75.6,0.661
2024-04-08,2024,4,Monday,False,15,79,0.734,82.155,22.644,0.481,0.0,79,74.9,0.679
