keyword,count
a,35799
az,10287
és,5755
nem,5289
hogy,4196
is,3781
egy,3517
kérem,3163
utca,2912
2025,2807
van,2657
frissítés,2653
válasza,2302
köszönöm,2294
út,1806
budapest,1502
el,1265
már,1221
ez,1193
meg,1192
kerület,1183
de,1155
előtt,989
ha,982
ki,942
tisztelt,919
vagy,910
illetékes,887
így,876
lévő,862
kérjük,854
több,818
nagyon,812
zrt,787
tábla,782
probléma,775
lehet,749
fa,747
járda,746
található,745
látható,741
lenne,713
nincs,711
csak,710
sem,669
itt,667
tartozik,664
mert,663
még,659
áll,658
óta,653
szépen,650
közút,649
08,649
mellett,641
terület,635
ami,626
ezért,621
nagy,591
miatt,580
07,578
kerületi,576
ott,568
bejelentő,566
jelzett,556
társaságunk,550
05,539
illetékest,528
köszönjük,518
képen,514
ezt,514
1,506
utcában,505
06,504
2,503
04,497
önkormányzat,495
legyenek,490
úton,485
09,482
előtti,463
autó,461
egyik,458
helyen,457
szerint,457
balesetveszélyes,456
szemét,456
fedlap,451
két,450
sajnos,449
utcai,444
felé,423
es,416
illetve,416
járdán,415
javítsák,413
helyszínen,406
le,404
előre,403
volt,389
