category,Total_Reports,Resolution_Rate,Avg_Updates,Urgency_Rate
Parkok és zöldterületek,2416,0.533,0.223,0.118
Köztisztaság,2338,0.665,0.276,0.039
Közművek,1987,0.658,0.556,0.111
Forgalomtechnika,1950,0.62,0.208,0.139
Elhagyott jármű,1129,0.724,0.158,0.033
Járda,927,0.494,0.29,0.301
Kátyú,788,0.59,0.162,0.217
Egyéb,596,0.52,0.257,0.136
Közvilágítás,490,0.733,0.231,0.059
Közösségi közlekedés,392,0.63,0.156,0.069
Parkolás,374,0.447,0.294,0.096
Graffiti,356,0.576,0.242,0.006
Kerékpározás,239,0.628,0.255,0.201
Akadálymentesítés,63,0.46,0.349,0.175
,9,0.222,0.0,0.222
