CategoryName,TotalReports,ResolutionRate,AvgUpdatesPerReport,UrgencyFrequency,ResourceIntensity,ImprovementPriority,SeasonalPattern,CitizenSatisfactionProxy,AvgResolutionDays
Parkok és zöldterületek,2416,53.300000000000004,0.223,11.799999999999999,Medium,52.22,Stable,48.0231654676259,30
Köztisztaság,2338,66.5,0.276,3.9,Medium,43.601456953642376,Stable,59.75611510791368,30
Közművek,1987,65.8,0.556,11.1,High,41.68301324503311,Stable,79.47999999999999,30
Forgalomtechnika,1950,62.0,0.208,13.900000000000002,Medium,43.5835761589404,Stable,52.16402877697841,30
Elhagyott jármű,1129,72.39999999999999,0.158,3.3000000000000003,Low,26.04903973509934,Stable,54.80690647482014,30
Járda,927,49.4,0.29,30.099999999999998,Medium,40.78076158940397,Stable,50.50330935251798,30
Kátyú,788,59.0,0.162,21.7,Low,32.69476821192053,Stable,47.0546762589928,30
Egyéb,596,52.0,0.257,13.600000000000001,Medium,30.680662251655626,Stable,49.68920863309352,30
Közvilágítás,490,73.3,0.231,5.8999999999999995,Medium,18.534437086092716,Stable,60.59870503597122,30
Közösségi közlekedés,392,63.0,0.156,6.9,Low,21.73754966887417,Stable,49.02302158273381,30
Parkolás,374,44.7,0.294,9.6,Medium,29.644039735099337,Stable,47.97107913669064,30
Graffiti,356,57.599999999999994,0.242,0.6,Medium,21.560529801324506,Stable,51.97007194244604,30
Kerékpározás,239,62.8,0.255,20.1,Medium,23.87771523178808,Stable,56.02532374100719,30
Akadálymentesítés,63,46.0,0.349,17.5,Medium,27.632284768211925,Stable,52.70791366906475,30
,9,22.2,0.0,22.2,,37.89175496688742,Stable,13.319999999999999,30
