InstitutionName,TotalIssuesAssigned,IssuesResolved,ResolutionRate,AvgUpdatesPerIssue,Avg_Images,Avg_Description_Length,PerformanceRanking,WorkloadCategory,EfficiencyScore,ImprovementTrend,AvgResolutionDays
XV. kerület Önkormányzati Rendészet,97,81,0.835,0.093,1.722,164.402,1.0,Medium,36.13791766704688,Stable,30
MVM Főgáz Földgázhálózati Kft.,57,47,0.825,0.228,2.158,147.579,2.0,Medium,37.67160940902456,Stable,30
Magyar Telekom,714,585,0.819,0.171,2.783,123.78,3.0,High,43.839892158348555,Stable,30
JCDecaux,139,113,0.813,0.115,2.281,138.388,4.0,Medium,36.120650878606355,Stable,30
XV. kerület Palota Holding Zrt.,107,85,0.794,0.224,2.682,226.766,5.0,Medium,36.92527211671147,Stable,30
XIV. kerület Zuglói Önkormányzati Rendészet,177,140,0.791,0.22,2.056,231.153,6.0,Medium,37.52466845870989,Stable,30
Fővárosi Vízművek,224,177,0.79,0.201,1.808,157.906,7.0,High,37.67945345340556,Stable,30
XX. kerület Rendvédelmi Osztály,76,60,0.789,0.171,1.737,170.618,8.0,Medium,35.43898922381131,Stable,30
V. kerület Belváros-Lipótváros Városüzemeltető,80,63,0.788,0.362,1.788,226.638,9.0,Medium,38.81869425456054,Stable,30
BDK Budapesti Dísz-és Közvilágítási Kft.,413,325,0.787,0.165,1.755,143.688,10.0,High,39.056593894822484,Stable,30
X. kerület Kőbányai Közterület-felügyelet,76,58,0.763,0.145,2.408,191.763,11.0,Medium,33.93962526621414,Stable,30
Városliget Zrt.,63,47,0.746,0.206,1.841,228.032,12.0,Medium,34.19063691981271,Stable,30
XIX. kerület Kispesti Rendészeti Központ,54,39,0.722,0.148,2.148,221.537,13.0,Medium,32.104321802040374,Stable,30
IX. kerület - FESZOFE Nonprofit Kft.,70,50,0.714,0.271,2.043,240.214,14.0,Medium,34.138053585814674,Stable,30
FCSM Fővárosi Csatornázási Művek,281,197,0.701,0.181,2.103,202.943,15.0,High,34.409437420733994,Stable,30
XIII. kerület Közterület-felügyelet,70,49,0.7,0.329,2.357,284.0,16.0,Medium,34.60278856814683,Stable,30
XIII. kerület Önkormányzata,321,224,0.698,0.458,1.984,277.978,17.0,High,39.634897622219206,Stable,30
XXI. kerület Csepeli Városgazda NZrt.,77,53,0.688,0.208,1.779,269.74,18.0,Medium,32.06398615287671,Stable,30
IV. kerület Újpest Önkormányzata,171,113,0.661,0.152,2.333,206.111,19.0,Medium,31.0555349408546,Stable,30
