InstitutionName,TotalIssuesAssigned,ResolutionRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,AvgDaysToResolution,ServiceCenterLatitude,ServiceCenterLongitude,DistrictsServed,ServiceAreaCoverage,AvgUrgencyScore
10 millió Fa Alapítvány,1,1.0,56.0,15,Low,24.0,47.583,19.116,1,1.0,0.0
AH Infrastruktúra Zrt.,1,0.0,0.0,132,Low,,47.51,19.055,1,1.0,0.0
ATEV Fehérjefeldolgozó Zrt.,15,0.2,24.1,71,Low,16.333,47.508,19.038,5,1.0,2.0
ATEV FehĂŠrjefeldolgozĂł Zrt.,1,0.0,0.0,132,Low,,47.434,19.071,1,1.0,0.0
AVIA Hungária Kft.,1,0.0,2.0,120,Low,,47.506,19.16,1,1.0,10.0
Aldi,5,0.4,40.5,39,Low,9.5,47.52,19.109,4,1.0,0.0
Auchan,1,1.0,68.0,10,Low,12.0,47.561,19.05,1,1.0,0.0
BDK Budapesti DÃ­sz-ÃĐs KÃķzvilÃĄgÃ­tÃĄsi Kft.,1,0.0,0.0,132,Low,,47.501,18.984,1,1.0,0.0
BDK Budapesti Dísz-és Közvilágítási Kft.,214,0.715,56.8,14,High,9.235,47.503,19.073,23,1.0,1.402
BFKH Budapest FÅvÃĄros KormÃĄnyhivatala,1,0.0,0.0,132,Low,,47.469,19.091,1,1.0,0.0
BFKH Budapest Főváros Kormányhivatala,16,0.0,2.1,119,Low,,47.498,19.079,12,1.0,10.625
BFKH III. Kerületi Hivatal Hatósági Osztály,1,0.0,6.0,114,Low,,47.539,19.034,1,1.0,30.0
BKK Budapesti KÃķzlekedÃĐsi KÃķzpont,1,0.0,0.0,132,Low,,47.49,19.089,1,1.0,0.0
BKK Budapesti Közlekedési Központ,248,0.282,14.4,97,High,30.886,47.498,19.071,23,1.0,1.331
BKM Budapesti KÃ¶zmÅ±vek,1,0.0,0.0,132,Low,,47.518,18.971,1,1.0,0.0
BKM Budapesti KÃķzmÅąvek,5,0.2,10.4,107,Low,,47.502,19.035,1,1.0,2.0
BKM Budapesti Közművek,835,0.496,34.1,49,High,20.983,47.5,19.068,24,1.0,1.557
BKM Budapesti KĂ¶zmĹ±vek,1,0.0,0.0,132,Low,,47.508,19.18,1,1.0,0.0
BKM Budapesti KĂśzmĹąvek,3,0.333,16.7,91,Low,,47.507,19.041,1,1.0,0.0
BKM Budapesti Kรถzmลฑvek,1,1.0,50.0,22,Low,,47.446,19.126,1,1.0,0.0
Bethesda Gyermekkórház,1,0.0,0.0,132,Low,,47.518,19.089,1,1.0,0.0
Budai Tamás - egyéni vállalkozó,5,0.2,37.0,45,Low,3.0,47.516,19.127,2,1.0,0.0
Budapest Airport,4,0.25,24.5,69,Low,18.0,47.433,19.262,2,1.0,0.0
Budapest Film Zrt.,1,0.0,0.0,132,Low,,47.486,19.071,1,1.0,0.0
Budapest Főváros Önkormányzata,24,0.333,17.0,90,Low,35.25,47.501,19.09,11,1.0,1.667
Budapest Galéria,1,0.0,0.0,132,Low,,47.491,19.046,1,1.0,0.0
Budapest KÃķzÃšt,9,0.222,11.5,103,Low,,47.47,19.078,2,1.0,2.222
Budapest Közút,1418,0.19,12.0,100,High,28.149,47.502,19.075,24,1.0,3.068
Budapest KĂśzĂşt,2,0.5,25.0,66,Low,,47.46,19.076,2,1.0,0.0
Budapest Kأ¶zأ؛t,1,0.0,0.0,132,Low,,47.446,19.147,1,1.0,0.0
Budapest Kรถzรบt,1,0.0,0.0,132,Low,,47.452,19.109,1,1.0,0.0
Budapest Vásárcsarnokai,1,0.0,2.0,120,Low,,47.493,19.073,1,1.0,10.0
Budapesti Corvinus Egyetem,2,0.0,0.0,132,Low,,47.487,19.058,2,1.0,0.0
Campona,1,0.0,0.0,132,Low,,47.406,19.016,1,1.0,0.0
Cordia,1,0.0,0.0,132,Low,,47.485,19.077,1,1.0,0.0
Csillag Center,1,0.0,0.0,132,Low,,47.581,19.05,1,1.0,0.0
D-Infrastruktúra Távközlési Kft.,5,0.6,45.8,34,Low,15.0,47.507,19.065,4,1.0,4.0
Duna Plaza,1,0.0,0.0,132,Low,,47.551,19.072,1,1.0,0.0
E.ON,84,0.071,4.1,115,Medium,43.833,47.503,19.081,18,1.0,2.976
ERSTE BANK Hungary Zrt.,1,0.0,0.0,132,Low,,47.537,19.059,1,1.0,0.0
