InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
10 millió Fa Alapítvány,47.5827,19.116108,47.5827,47.5827,19.116108,19.116108,0.0,1,IV. kerület,1,Other Municipal,0,0,0
AH Infrastruktúra Zrt.,47.509938,19.055373,47.509938,47.509938,19.055373,19.055373,0.0,1,V. kerület,1,Other Municipal,0,0,1
ATEV Fehérjefeldolgozó Zrt.,47.507853,19.03831,47.449574,47.561987,18.9638,19.17629,289.03,5,"II. kerület, XVIII. kerület, VIII. kerület, XI. kerület, XIII. kerület",15,Other Municipal,0,0,1
ATEV FehĂŠrjefeldolgozĂł Zrt.,47.434316,19.070788,47.434316,47.434316,19.070788,19.070788,0.0,1,Csepel,1,Other Municipal,0,0,1
AVIA Hungária Kft.,47.505722,19.160482,47.505722,47.505722,19.160482,19.160482,0.0,1,X. kerület,1,Other Municipal,0,0,1
Aldi,47.519792,19.109148,47.481075,47.601173,19.030347,19.225805,284.04,4,"XVII. kerület, XI. kerület, XIV. kerület, III. kerület",5,Other Municipal,0,0,0
Auchan,47.561409,19.049595,47.561409,47.561409,19.049595,19.049595,0.0,1,III. kerület,1,Other Municipal,0,0,0
BDK Budapesti DÃ­sz-ÃĐs KÃķzvilÃĄgÃ­tÃĄsi Kft.,47.500557,18.984438,47.500557,47.500557,18.984438,18.984438,0.0,1,Unknown,1,Other Municipal,0,1,1
BDK Budapesti Dísz-és Közvilágítási Kft.,47.502965,19.072709,47.388766,47.604032,18.948597,19.282198,868.94,23,"XIV. kerület, V. kerület, II. kerület, IX. kerület, XXII. kerület",214,Public Lighting,0,1,1
BFKH Budapest FÅvÃĄros KormÃĄnyhivatala,47.469118,19.091142,47.469118,47.469118,19.091142,19.091142,0.0,1,Unknown,1,Other Municipal,0,1,0
