ClusterID,ClusterCenterLat,ClusterCenterLng,IssueCount,ResolutionRate,AvgResolutionTime,AvgUrgencyScore,DominantCategory,PrimaryInstitution,ClusterSize,ClusterType,ClusterPriority
0,47.47,19.109,121,0.331,20.05,1.405,Parkok és zöldterületek,IX. kerület Ferencváros Önkormányzata,121,Major Hotspot,Low
1,47.499,19.024,298,0.359,25.679,2.785,Parkok és zöldterületek,Budapest Közút,298,Major Hotspot,Low
2,47.516,19.092,262,0.294,24.922,2.214,Parkok és zöldterületek,Budapest Közút,262,Major Hotspot,Low
3,47.481,19.241,86,0.372,26.375,2.209,Parkok és zöldterületek,XVII. kerület Rákosmente Önkormányzata,86,Major Hotspot,Low
4,47.597,19.059,405,0.309,29.492,1.654,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,405,Major Hotspot,Low
5,47.429,19.033,56,0.268,30.2,0.714,Elhagyott jármű,XXII. kerület Budafok-Tétény Önkormányzata,56,Major Hotspot,Low
6,47.516,19.174,103,0.262,36.444,3.301,Parkok és zöldterületek,XVI. kerületi Önkormányzat,103,Major Hotspot,Low
7,47.554,18.954,101,0.317,24.0,3.366,Parkok és zöldterületek,II. kerület Önkormányzata,101,Major Hotspot,Low
8,47.477,19.072,323,0.353,20.228,1.486,Parkok és zöldterületek,Budapest Közút,323,Major Hotspot,Low
9,47.401,19.108,51,0.353,22.444,2.745,Elhagyott jármű,XXIII. kerület Soroksár Rendészeti Osztály,51,Major Hotspot,Low
10,47.455,19.135,96,0.333,20.581,3.438,Elhagyott jármű,XIX. kerület Közpark NKft.,96,Major Hotspot,Low
11,47.539,19.029,107,0.252,38.667,2.897,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,107,Major Hotspot,Low
12,47.514,19.054,281,0.363,23.127,1.993,Forgalomtechnika,Budapest Közút,281,Major Hotspot,Low
13,47.465,19.019,191,0.34,28.262,2.147,Köztisztaság,XI. kerület Újbuda Önkormányzata,191,Major Hotspot,Low
14,47.545,19.083,161,0.354,28.25,1.739,Parkok és zöldterületek,XIII. kerület Önkormányzata,161,Major Hotspot,Low
15,47.525,18.985,186,0.398,24.264,1.022,Köztisztaság,II. kerület Önkormányzata,186,Major Hotspot,Low
16,47.406,19.188,36,0.417,32.214,2.778,Forgalomtechnika,Budapest Közút,36,Medium Hotspot,Low
17,47.44,19.103,236,0.331,23.821,0.89,Parkok és zöldterületek,XX. kerület Pesterzsébet Önkormányzata,236,Major Hotspot,Low
18,47.405,18.995,50,0.44,25.727,1.0,Elhagyott jármű,XXII. kerület Közterület-felügyeleti Csoport,50,Major Hotspot,Low
19,47.521,19.209,57,0.368,23.714,2.456,Parkok és zöldterületek,XVI. kerületi Önkormányzat,57,Major Hotspot,Low
20,47.491,19.083,214,0.393,19.167,0.841,Parkok és zöldterületek,VIII. kerület JGK Józsefvárosi Gazdálkodási Központ,214,Major Hotspot,Low
21,47.542,19.137,123,0.358,19.841,1.382,Elhagyott jármű,XV. kerület Önkormányzati Rendészet,123,Major Hotspot,Low
